episode,timestep,reward,coverage_pct,ep_steps
741,422983,224.973,100.00,409
742,423414,223.433,100.00,431
743,423899,219.653,100.00,485
744,424256,228.613,100.00,357
745,424655,225.673,100.00,399
746,425064,224.973,100.00,409
747,425464,225.603,100.00,400
748,425861,225.813,100.00,397
749,426472,210.833,100.00,611
750,426912,222.803,100.00,440
751,427498,212.583,100.00,586
752,427949,222.033,100.00,451
753,428301,228.963,100.00,352
754,429081,138.569,94.87,780
755,429438,228.613,100.00,357
756,429855,224.413,100.00,417
757,430248,226.093,100.00,393
758,430745,218.813,100.00,497
759,431525,148.025,99.49,780
760,431928,225.393,100.00,403
761,432226,232.743,100.00,298
762,432554,230.643,100.00,328
763,432952,225.743,100.00,398
764,433289,230.013,100.00,337
765,433865,213.283,100.00,576
766,434239,227.423,100.00,374
767,434590,229.033,100.00,351
768,434913,230.993,100.00,323
769,435235,231.063,100.00,322
770,435582,229.313,100.00,347
771,435880,232.743,100.00,298
772,436394,217.623,100.00,514
773,436737,229.593,100.00,343
774,437150,224.693,100.00,413
775,437460,231.903,100.00,310
776,437903,222.593,100.00,443
777,438255,228.963,100.00,352
778,438642,226.513,100.00,387
779,439107,221.053,100.00,465
780,439499,226.163,100.00,392
781,439942,222.593,100.00,443
782,440337,225.953,100.00,395
783,440952,210.553,100.00,615
784,441288,230.083,100.00,336
785,441627,229.873,100.00,339
786,442044,224.413,100.00,417
787,442484,222.803,100.00,440
788,442840,228.683,100.00,356
789,443214,227.423,100.00,374
790,443608,226.023,100.00,394
791,444022,224.623,100.00,414
792,444337,231.553,100.00,315
793,444650,231.693,100.00,313
794,445098,222.243,100.00,448
795,445553,221.753,100.00,455
796,445889,230.083,100.00,336
797,446407,217.343,100.00,518
798,446765,228.543,100.00,358
799,447143,227.143,100.00,378
800,447923,131.225,91.28,780
801,448453,216.503,100.00,530
802,448820,227.913,100.00,367
803,449229,224.973,100.00,409
804,449677,222.243,100.00,448
805,450147,220.703,100.00,470
806,450464,231.413,100.00,317
807,450918,221.823,100.00,454
808,451289,227.633,100.00,371
809,451630,229.733,100.00,341
810,452070,222.803,100.00,440
811,452449,227.073,100.00,379
812,452872,223.993,100.00,423
813,453219,229.313,100.00,347
814,453624,225.253,100.00,405
815,453969,229.453,100.00,345
816,454749,143.850,97.44,780
817,455134,226.653,100.00,385
818,455661,216.713,100.00,527
819,456074,224.693,100.00,413
820,456435,228.333,100.00,361
821,456965,216.503,100.00,530
822,457300,230.153,100.00,335
823,457597,232.813,100.00,297
824,457931,230.223,100.00,334
825,458483,214.963,100.00,552
826,458815,230.363,100.00,332
827,459183,227.843,100.00,368
828,459621,222.943,100.00,438
829,459972,229.033,100.00,351
830,460358,226.583,100.00,386
831,460684,230.783,100.00,326
832,461127,222.593,100.00,443
833,461503,227.283,100.00,376
834,461933,223.503,100.00,430
835,462713,122.850,87.18,780
836,463063,229.103,100.00,350
837,463447,226.723,100.00,384
838,463923,220.283,100.00,476
839,464274,229.033,100.00,351
840,464619,229.453,100.00,345
841,464929,231.903,100.00,310
842,465291,228.263,100.00,362
843,465690,225.673,100.00,399
844,465985,232.953,100.00,295
845,466397,224.763,100.00,412
846,466826,223.573,100.00,429
847,467260,223.223,100.00,434
848,467650,226.303,100.00,390
849,467989,229.873,100.00,339
850,468303,231.623,100.00,314
851,468637,230.223,100.00,334
852,469054,224.413,100.00,417
853,469388,230.223,100.00,334
854,469777,226.373,100.00,389
855,470148,227.633,100.00,371
856,470484,230.083,100.00,336
857,470838,228.823,100.00,354
858,471184,229.383,100.00,346
859,471672,219.443,100.00,488
860,472161,219.373,100.00,489
861,472595,223.223,100.00,434
862,473020,223.853,100.00,425
863,473396,227.283,100.00,376
864,473758,228.263,100.00,362
865,474167,224.973,100.00,409
866,474619,221.963,100.00,452
867,474962,229.593,100.00,343
868,475502,215.803,100.00,540
869,476069,213.913,100.00,567
870,476608,215.873,100.00,539
871,476975,227.913,100.00,367
872,477387,224.763,100.00,412
873,477783,225.883,100.00,396
874,478153,227.703,100.00,370
875,478539,226.583,100.00,386
876,479085,215.383,100.00,546
877,479865,148.037,99.49,780
878,480405,215.802,100.00,540
879,480749,229.523,100.00,344
880,481529,143.828,97.44,780
881,481880,229.033,100.00,351
882,482660,148.034,99.49,780
883,483099,222.873,100.00,439
884,483558,221.473,100.00,459
885,483867,231.973,100.00,309
886,484264,225.813,100.00,397
887,484648,226.723,100.00,384
888,485051,225.393,100.00,403
889,485576,216.853,100.00,525
890,485890,231.623,100.00,314
891,486314,223.923,100.00,424
892,486703,226.373,100.00,389
893,487028,230.853,100.00,325
894,487553,216.853,100.00,525
895,487970,224.413,100.00,417
896,488462,219.163,100.00,492
897,489021,214.473,100.00,559
898,489556,216.153,100.00,535
899,489954,225.743,100.00,398
900,490296,229.663,100.00,342
901,490669,227.493,100.00,373
902,491359,205.303,100.00,690
903,491830,220.633,100.00,471
904,492112,233.863,100.00,282
905,492588,220.282,100.00,476
906,493011,223.993,100.00,423
907,493364,228.893,100.00,353
908,493720,228.683,100.00,356
909,494500,16.787,35.38,780
910,494926,223.783,100.00,426
911,495255,230.573,100.00,329
912,495766,217.833,100.00,511
913,496273,218.113,100.00,507
914,496703,223.503,100.00,430
915,497135,223.363,100.00,432
916,497484,229.173,100.00,349
917,497833,229.173,100.00,349
918,498196,228.193,100.00,363
919,498630,223.223,100.00,434
920,499204,213.423,100.00,574
921,499575,227.633,100.00,371
922,499909,230.223,100.00,334
923,500265,228.683,100.00,356
924,500873,67.668,69.74,608
